no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,bookImageURL,bookDtlUrl,loan_count
1950,1949,"다정하지만 만만하지 않습니다 :공감부터 설득까지, 진심을 전하는 표현의 기술 ",정문정 지음,문학동네,2024,9791141600020,3810.0,,802.56,"문학 > 문학 > 문장작법, 수사학",https://image.aladin.co.kr/product/33893/74/cover200/k872930723_1.jpg,https://data4library.kr/bookV?seq=6872688,656
1951,1949,찍찍찍 마을 옥수수 축제 :멜리 그림책 ,글·그림: 멜리,위즈덤하우스,2024,9791192655802,77810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34353/69/cover200/k442932098_1.jpg,https://data4library.kr/bookV?seq=6919722,656
1952,1949,시간 유전자 ,김혜정 글 ;인디고 그림,라임,2024,9791194028185,74810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/img/noimg_b.gif,https://data4library.kr/bookV?seq=6950750,656
1953,1953,채소 학교와 쌍둥이 딸기 ,글·그림: 나카야 미와 ;옮김: 강방화,웅진씽크빅,2023,9788901268361,74800.0,,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/31194/22/cover/8901268361_1.jpg,https://data4library.kr/bookV?seq=6646144,655
1954,1953,손톱 깨물기 ,글: 고대영 ;그림: 김영진,길벗어린이,2008,9788955820805,77810.0,,813.6,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/045/212/04521227.jpg?type=m1&udate=20130115,https://data4library.kr/bookV?seq=2201485,655
1955,1953,마음아 안녕 :최숙희 그림책 ,최숙희 글·그림,책읽는곰,2018,9791158360955,77810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/14788/35/cover/k192532158_1.jpg,https://data4library.kr/bookV?seq=3759322,655
1956,1953,아침을 볼 때마다 당신을 떠올릴 거야 :조수경 장편소설 ,지은이: 조수경,한겨레출판,2019,9791160402285,3810.0,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/18455/27/cover/k162534458_1.jpg,https://data4library.kr/bookV?seq=5374000,655
1957,1953,미로장의 참극 ,요코미조 세이시 지음 ;정명원 옮김,Sigongsa,2024,9791171257522,4830.0,,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/35148/38/cover200/k482934018_1.jpg,https://data4library.kr/bookV?seq=6971086,655
1958,1953,좋은 문장 표현에서 문장부호까지! :국립국어원 온라인가나다 선생님의 문장 교실 ,이수연 지음,마리북스,2024,9791193270134,3700.0,,802.041,"문학 > 문학 > 문장작법, 수사학",https://image.aladin.co.kr/product/33359/87/cover/k072938909_1.jpg,https://data4library.kr/bookV?seq=6830212,655
1959,1959,트라우마 사전 :작가를 위한 캐릭터 창조 가이드 ,"안젤라 애커만,임상훈 옮김",윌북,2020,9791155812662,3600.0,,802.0,"문학 > 문학 > 문장작법, 수사학",https://image.aladin.co.kr/product/23823/66/cover/k452639288_1.jpg,https://data4library.kr/bookV?seq=5656170,654
