no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,bookImageURL,bookDtlUrl,loan_count
1588,1586,키르케 :매들린 밀러 장편소설 ,지은이: 매들린 밀러 ;옮긴이: 이은선,이봄,2020,9791190582308,03840,,843.6,문학 > 영미문학 > 소설,https://image.aladin.co.kr/product/24108/65/cover/k482639535_1.jpg,https://data4library.kr/bookV?seq=5674923,748
1589,1589,나는 크고 아름다워요 ,배슈티 해리슨 글·그림 ;김서정 옮김,책읽는곰,2024,9791158364700,77840,,843,문학 > 영미문학 > 소설,https://image.aladin.co.kr/product/34940/64/cover200/k702934463_1.jpg,https://data4library.kr/bookV?seq=6958534,747
1590,1589,습기 :마태 장편소설 ,지은이: 마태,해피북스투유,2023,9791170960447,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/32333/58/cover/k532935166_1.jpg,https://data4library.kr/bookV?seq=6753043,747
1591,1591,슬픔의 모양 :이석원 산문집 ,지은이: 이석원,김영사,2024,9791194330813,03810,,814.7,문학 > 한국문학 > 수필,https://image.aladin.co.kr/product/35290/1/cover200/k002934653_1.jpg,https://data4library.kr/bookV?seq=6980879,746
1592,1592,판다 여행사 ,노하나 하루카 글·그림 ;송지현 옮김,김영사,2022,9788934940746,73830,,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/30354/12/cover/8934940743_1.jpg,https://data4library.kr/bookV?seq=6578227,745
1593,1592,심플하게 산다 ,도미니크 로로 지음 ;김성희 옮김,바다출판사,2012,9788955616477,13320,,864,문학 > 프랑스문학 > 수필,http://image.aladin.co.kr/product/1899/77/cover/8955616473_1.jpg,https://data4library.kr/bookV?seq=1861746,745
1594,1592,예감은 틀리지 않는다 :줄리언 반스 장편소설 ,지은이: 줄리언 반스 ;옮긴이: 최세희,다산북스,2012,9788963708386,03840,,843.5,문학 > 영미문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/068/693/06869354.jpg?type=m1&udate=20180717,https://data4library.kr/bookV?seq=1245887,745
1595,1592,원더풀 랜드 :더글라스 케네디 장편소설 ,지은이: 더글라스 케네디 ;옮긴이: 조동섭,밝은세상,2024,9788984374928,03840,,843.5,문학 > 영미문학 > 소설,https://image.aladin.co.kr/product/34936/96/cover200/898437492x_2.jpg,https://data4library.kr/bookV?seq=6958981,745
1596,1592,여자의 우정은 첫사랑이다 :세상 가장 다정하고 복잡한 관계에 대하여 ,릴리 댄시거 지음 ;송섬별 옮김,문학동네,2025,9791141609245,03840,,848,문학 > 영미문학 > 르포르타주 및 기타,https://image.aladin.co.kr/product/36208/70/cover200/k292038304_1.jpg,https://data4library.kr/bookV?seq=7047156,745
1597,1597,멋진 신세계 :리커버판 ,올더스 헉슬리 지음 ;이덕형 옮김,문예출판사,2018,9788931010831,03840,,843.5,문학 > 영미문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/134/454/13445422.jpg?type=m1&udate=20180703,https://data4library.kr/bookV?seq=3724887,744
1598,1597,별의 커비 :푸푸푸 히어로,"만화: 아오키 케이,번역: 김지영",다산북스,2023,9791130646916,77830,2,830,문학 > 일본문학 > 일본문학,https://image.aladin.co.kr/product/32783/49/cover/k402936482_1.jpg,https://data4library.kr/bookV?seq=6782315,744
1599,1597,어둠 뚫기 :박선우 장편소설 ,지은이: 박선우,문학동네,2025,9791141602222,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/35948/69/cover200/k472037800_1.jpg,https://data4library.kr/bookV?seq=7022436,744
